Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Logo,Order
Profil,profil,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54bf0,false,false,Tue Mar 14 2023 06:05:22 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 13:56:04 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/641012ef8a2f464620129749_r%26c__0000_Press_-Profil.png,3
Ledger Insights,ledger-insights,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54c0e,false,false,Tue Mar 14 2023 06:05:42 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 13:56:00 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/641012e5f4bdf23f7da6af40_r%26c__0001_Press_-Ledger-Insights.png,3
Future Zone,future-zone,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54c27,false,false,Tue Mar 14 2023 06:05:53 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 13:55:56 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/641012d55f2ea584979088a2_r%26c__0002_Press_-Future-Zone.png,3
Die Presse,die-presse,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54c3d,false,false,Tue Mar 14 2023 06:06:04 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 13:55:52 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/6410116a8b520778eafb8f6e_r%26c__0003_Press_-Die-Presse.png,3
Der Standard,der-standard,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54c54,false,false,Tue Mar 14 2023 06:06:14 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 13:55:48 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/6410115b8a2f464e931271d2_r%26c__0004_Press_-Der-Standard.png,3
Crypto Research,crypto-research,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54c76,false,false,Tue Mar 14 2023 06:06:35 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 13:55:41 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/641012fd9aa399cfe5ce24e4_r%26c__0005_Press_-Crypto-research.png,3
Cointelegraph,cointelegraph,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54c77,false,false,Tue Mar 14 2023 06:06:53 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 13:55:36 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/6410113a96dd6dd0da70d973_r%26c__0006_Press_-Cointelegraph.png,3
Coindesk,coindesk,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54c78,false,false,Tue Mar 14 2023 06:07:08 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 13:55:32 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/6410112fdbfbb910cb18fecd_r%26c__0007_Press_-Coindesk.png,3
BTC Echo,btc-echo,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54c79,false,false,Tue Mar 14 2023 06:07:19 GMT+0000 (Coordinated Universal Time),Tue Mar 21 2023 09:15:03 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/64101123523ba6a5762b806b_r%26c__0008_Press_-BTC-Echo.png,2
Forbes,forbes,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54c7a,false,false,Tue Mar 14 2023 06:07:29 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 13:54:08 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/64101233523ba64b252b989f_r%26c__0009_Forbes-Logo.png,1
Brutkasten,brutkasten,651eafbae761a2b4e1c54bd7,651eafbbe761a2b4e1c55101,651eafbae761a2b4e1c54c7b,false,false,Tue Mar 14 2023 06:07:41 GMT+0000 (Coordinated Universal Time),Tue Mar 14 2023 13:55:27 GMT+0000 (Coordinated Universal Time),Wed Aug 21 2024 12:48:56 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/63f3a24533e09e09d583beeb/64101229725101136df09013_r%26c__0010_brutkasten_logo-modified.png,3
